caldt,vwretd
20100104,0.015970
20100105,0.003066
20100106,0.000907
20100107,0.003898
20100108,0.002791
20100111,0.001724
20100112,-0.009159
20100113,0.008434
20100114,0.002369
20100115,-0.010708
20100119,0.012443
20100120,-0.010489
20100121,-0.018772
20100122,-0.021872
20100125,0.004539
20100126,-0.004003
20100127,0.004791
20100128,-0.011755
20100129,-0.009675
20100201,0.014002
20100202,0.012781
20100203,-0.004936
20100204,-0.031009
20100205,0.003003
20100208,-0.008497
20100209,0.012927
20100210,-0.002047
20100211,0.009736
20100212,-0.002560
20100216,0.018243
20100217,0.004566
20100218,0.006558
20100219,0.001968
20100222,-0.000985
20100223,-0.012151
20100224,0.009932
20100225,-0.001729
20100226,0.001370
20100301,0.010000
20100302,0.002319
20100303,0.000380
20100304,0.003904
20100305,0.013974
20100308,0.000172
20100309,0.001957
20100310,0.004814
20100311,0.004561
20100312,-0.000333
20100315,0.000609
20100316,0.007972
20100317,0.005804
20100318,-0.000355
20100319,-0.005298
20100322,0.005320
20100323,0.007378
20100324,-0.005490
20100325,-0.001429
20100326,0.000760
20100329,0.005651
20100330,0.000170
20100331,-0.003287
20100401,0.007302
20100405,0.008022
20100406,0.001781
20100407,-0.005259
20100408,0.003583
20100409,0.006607
20100412,0.001860
20100413,0.000747
20100414,0.011312
20100415,0.000686
20100416,-0.016104
20100419,0.004719
20100420,0.008129
20100421,-0.000906
20100422,0.002404
20100423,0.006917
20100426,-0.004458
20100427,-0.023270
20100428,0.006419
20100429,0.013003
20100430,-0.016708
20100503,0.012927
20100504,-0.023775
20100505,-0.006100
20100506,-0.032201
20100507,-0.015477
20100510,0.043619
20100511,-0.003092
20100512,0.014099
20100513,-0.012071
20100514,-0.018848
20100517,0.001267
20100518,-0.013955
20100519,-0.005121
20100520,-0.038569
20100521,0.014701
20100524,-0.012638
20100525,0.000262
20100526,-0.005595
20100527,0.033149
20100528,-0.012146
20100601,-0.017027
20100602,0.025802
20100603,0.004262
20100604,-0.034767
20100607,-0.013255
20100608,0.010932
20100609,-0.005700
20100610,0.029205
20100611,0.004718
20100614,-0.001693
20100615,0.023316
20100616,-0.000659
20100617,0.001307
20100618,0.001280
20100621,-0.003953
20100622,-0.015842
20100623,-0.002993
20100624,-0.016900
20100625,0.002986
20100628,-0.002106
20100629,-0.031166
20100630,-0.010013
20100701,-0.002911
20100702,-0.004509
20100706,0.005406
20100707,0.031502
20100708,0.009588
20100709,0.007205
20100712,0.000925
20100713,0.015524
20100714,-0.000110
20100715,0.001109
20100716,-0.028703
20100719,0.005974
20100720,0.011599
20100721,-0.012708
20100722,0.022421
20100723,0.008242
20100726,0.011116
20100727,-0.001083
20100728,-0.006875
20100729,-0.004041
20100730,0.000056
20100802,0.021847
20100803,-0.004813
20100804,0.006417
20100805,-0.001333
20100806,-0.003445
20100809,0.005515
20100810,-0.005970
20100811,-0.027435
20100812,-0.005483
20100813,-0.003902
20100816,0.000195
20100817,0.012525
20100818,0.001444
20100819,-0.016935
20100820,-0.003539
20100823,-0.003789
20100824,-0.014424
20100825,0.003523
20100826,-0.007759
20100827,0.016560
20100830,-0.014556
20100831,-0.000067
20100901,0.029898
20100902,0.009295
20100903,0.013217
20100907,-0.011149
20100908,0.006537
20100909,0.004791
20100910,0.004883
20100913,0.011574
20100914,-0.000482
20100915,0.003594
20100916,-0.000121
20100917,0.001005
20100920,0.015202
20100921,-0.002731
20100922,-0.004449
20100923,-0.008258
20100924,0.020923
20100927,-0.005518
20100928,0.005024
20100929,-0.002404
20100930,-0.003101
20101001,0.004450
20101004,-0.007918
20101005,0.020519
20101006,0.000064
20101007,-0.001618
20101008,0.006125
20101011,0.000207
20101012,0.003756
20101013,0.007272
20101014,-0.003865
20101015,0.002134
20101018,0.007368
20101019,-0.015835
20101020,0.010449
20101021,0.002000
20101022,0.002272
20101025,0.002280
20101026,0.000284
20101027,-0.002547
