caldt,vwretd
1/2/1973,0.008866
1/3/1973,0.004016
1/4/1973,-0.00198
1/5/1973,0.003887
1/8/1973,-0.000208
1/9/1973,-0.000821
1/10/1973,-0.002391
1/11/1973,0.00684
1/12/1973,-0.008031
1/15/1973,-0.007214
1/16/1973,-0.002526
1/17/1973,0.004521
1/18/1973,0.001475
1/19/1973,-0.000655
1/22/1973,-0.004828
1/23/1973,0.000242
1/24/1973,-0.012683
1/26/1973,-0.002339
1/29/1973,-0.003538
1/30/1973,-0.001212
1/31/1973,0.001933
2/1/1973,-0.010907
2/2/1973,-0.003568
2/5/1973,-0.000003
2/6/1973,0.002161
2/7/1973,-0.006591
2/8/1973,-0.003805
2/9/1973,0.013785
2/12/1973,0.011907
2/13/1973,0.006307
2/14/1973,-0.0144
2/15/1973,-0.005697
2/16/1973,0.004819
2/20/1973,0.003814
2/21/1973,-0.006251
2/22/1973,-0.002151
2/23/1973,-0.010701
2/26/1973,-0.008438
2/27/1973,-0.011285
2/28/1973,0.007211
3/1/1973,-0.005756
3/2/1973,0.011101
3/5/1973,0.003587
3/6/1973,0.012652
3/7/1973,0.003203
3/8/1973,-0.001851
3/9/1973,-0.003855
3/12/1973,0.000789
3/13/1973,0.005538
3/14/1973,0.004446
3/15/1973,-0.007426
3/16/1973,-0.005049
3/19/1973,-0.012123
3/20/1973,-0.002106
3/21/1973,-0.013273
3/22/1973,-0.015029
3/23/1973,0.000319
3/26/1973,0.00902
3/27/1973,0.015666
3/28/1973,0.000615
3/29/1973,0.009924
3/30/1973,-0.010651
4/2/1973,-0.011918
4/3/1973,-0.008584
4/4/1973,-0.004321
4/5/1973,-0.002308
4/6/1973,0.007001
4/9/1973,0.014645
4/10/1973,0.012361
4/11/1973,0.004323
4/12/1973,-0.00106
4/13/1973,-0.004373
4/16/1973,-0.005748
4/17/1973,-0.004431
4/18/1973,0.005473
4/19/1973,0.005677
4/23/1973,-0.005408
4/24/1973,-0.014126
4/25/1973,-0.015008
4/26/1973,0.004985
4/27/1973,-0.015358
4/30/1973,-0.001942
5/1/1973,0.001491
5/2/1973,0.013012
5/3/1973,0.017035
5/4/1973,0.007605
5/7/1973,-0.003928
5/8/1973,0.006578
5/9/1973,-0.00728
5/10/1973,-0.008053
5/11/1973,-0.011926
5/14/1973,-0.020953
5/15/1973,0.006819
5/16/1973,-0.001171
5/17/1973,-0.008239
5/18/1973,-0.016096
5/21/1973,-0.010703
5/22/1973,0.008337
5/23/1973,0.005025
5/24/1973,0.030336
5/25/1973,0.007848
5/29/1973,-0.003954
5/30/1973,-0.014872
5/31/1973,-0.00916
6/1/1973,-0.00973
6/4/1973,-0.009218
6/5/1973,0.016216
6/6/1973,-0.002902
6/7/1973,0.014865
6/8/1973,0.011417
6/11/1973,-0.002822
6/12/1973,0.015011
6/13/1973,-0.006451
6/14/1973,-0.011063
6/15/1973,-0.012254
6/18/1973,-0.014369
6/19/1973,0.00392
6/20/1973,0.004345
6/21/1973,-0.011894
6/22/1973,0.004823
6/25/1973,-0.013871
6/26/1973,0.010459
6/27/1973,0.00315
6/28/1973,0.010354
6/29/1973,-0.004096
7/2/1973,-0.013095
7/3/1973,-0.010102
7/5/1973,-0.000944
7/6/1973,-0.004926
7/9/1973,0.008613
7/10/1973,0.01379
7/11/1973,0.022279
7/12/1973,-0.00293
7/13/1973,-0.013465
7/16/1973,0.015572
7/17/1973,0.000374
7/18/1973,0.005974
7/19/1973,0.001911
7/20/1973,0.00568
7/23/1973,0.003479
7/24/1973,0.005952
7/25/1973,0.014077
7/26/1973,0.001762
7/27/1973,-0.002562
7/30/1973,-0.002731
7/31/1973,-0.00934
8/1/1973,-0.012665
8/2/1973,-0.000817
8/3/1973,-0.001657
8/6/1973,0.002897
8/7/1973,-0.001616
8/8/1973,-0.008937
8/9/1973,0.000544
8/10/1973,-0.007581
8/13/1973,-0.009783
8/14/1973,-0.009554
8/15/1973,0.003262
8/16/1973,-0.006415
8/17/1973,-0.000051
8/20/1973,-0.006641
8/21/1973,-0.00712
8/22/1973,-0.003466
8/23/1973,0.013891
8/24/1973,-0.002101
8/27/1973,0.008261
8/28/1973,0.00604
8/29/1973,0.009667
8/30/1973,-0.001409
8/31/1973,0.00372
9/4/1973,0.002907
9/5/1973,0.001336
9/6/1973,0.004969
9/7/1973,-0.003707
9/10/1973,-0.00846
9/11/1973,-0.005947
9/12/1973,-0.001512
9/13/1973,0.003147
9/14/1973,0.010663
9/17/1973,-0.002715
9/18/1973,-0.003615
9/19/1973,0.020565
9/20/1973,0.008384
9/21/1973,0.00411
9/24/1973,0.001593
9/25/1973,0.00639
9/26/1973,0.007245
9/27/1973,0.00263
9/28/1973,-0.006108
10/1/1973,-0.001963
10/2/1973,0.005562
10/3/1973,-0.000134
10/4/1973,-0.003396
10/5/1973,0.01344
10/8/1973,0.003532
10/9/1973,-0.000783
10/10/1973,-0.012066
10/11/1973,0.01703
10/12/1973,0.003202
10/15/1973,-0.012347
10/16/1973,0.001206
10/17/1973,-0.002164
10/18/1973,0.000331
10/19/1973,0.002077
10/22/1973,-0.009786
10/23/1973,0.005573
10/24/1973,0.004675
10/25/1973,0.002266
10/26/1973,0.008043
10/29/1973,-0.001834
10/30/1973,-0.015972
10/31/1973,-0.009362
11/1/1973,-0.005313
11/2/1973,-0.00465
11/5/1973,-0.014125
11/6/1973,-0.005295
11/7/1973,0.008199
11/8/1973,0.011718
11/9/1973,-0.014971
11/12/1973,-0.007875
11/13/1973,-0.000487
11/14/1973,-0.018257
11/15/1973,-0.000164
11/16/1973,0.014599
11/19/1973,-0.03049
11/20/1973,-0.02018
11/21/1973,0.011528
11/23/1973,-0.002162
11/26/1973,-0.028013
11/27/1973,-0.008736
11/28/1973,0.020333
11/29/1973,-0.003292
11/30/1973,-0.013799
12/3/1973,-0.021112
12/4/1973,-0.003306
12/5/1973,-0.015358
12/6/1973,0.024698
12/7/1973,0.022346
12/10/1973,0.015037
12/11/1973,-0.019426
12/12/1973,-0.025862
12/13/1973,-0.01273
12/14/1973,0.010055
12/17/1973,-0.005801
12/18/1973,0.021496
12/19/1973,0.000799
12/20/1973,-0.003016
12/21/1973,-0.010902
12/24/1973,-0.006754
12/26/1973,0.031023
12/27/1973,0.020958
12/28/1973,-0.001711
12/31/1973,0.000066
1/2/1974,0.001622
1/3/1974,0.021486
1/4/1974,-0.008896
1/7/1974,-0.008302
1/8/1974,-0.019916
1/9/1974,-0.028119
1/10/1974,-0.01105
1/11/1974,0.01395
1/14/1974,-0.002472
1/15/1974,0.008895
1/16/1974,0.015429
1/17/1974,0.01705
1/18/1974,-0.017944
1/21/1974,-0.001386
1/22/1974,0.012137
1/23/1974,0.005218
1/24/1974,-0.002522
1/25/1974,-0.002016
1/28/1974,-0.005379
1/29/1974,-0.000406
1/30/1974,0.011167
1/31/1974,-0.005029
2/1/1974,-0.012942
2/4/1974,-0.020081
2/5/1974,-0.003096
2/6/1974,0.003393
2/7/1974,0.001005
2/8/1974,-0.010007
2/11/1974,-0.017987
2/12/1974,0.003074
2/13/1974,0.000561
2/14/1974,-0.000304
2/15/1974,0.015025
2/19/1974,-0.001466
2/20/1974,0.014626
2/21/1974,0.014555
2/22/1974,0.00727
2/25/1974,-0.003412
2/26/1974,0.010408
2/27/1974,0.00441
2/28/1974,-0.001913
3/1/1974,-0.007112
3/4/1974,0.000302
3/5/1974,0.019017
3/6/1974,0.006775
3/7/1974,-0.010629
3/8/1974,0.008925
3/11/1974,0.011427
3/12/1974,0.002862
3/13/1974,0.005902
3/14/1974,-0.000736
3/15/1974,-0.003721
3/18/1974,-0.01291
3/19/1974,-0.008342
3/20/1974,0.003652
3/21/1974,-0.001961
3/22/1974,-0.00075
3/25/1974,0.004088
3/26/1974,0.003165
3/27/1974,-0.014061
3/28/1974,-0.018395
3/29/1974,-0.008739
4/1/1974,-0.007543
4/2/1974,0.000944
4/3/1974,0.010585
4/4/1974,0.000067
4/5/1974,-0.013973
4/8/1974,-0.010388
4/9/1974,0.006436
4/10/1974,-0.002258
4/11/1974,-0.003029
4/15/1974,-0.00064
4/16/1974,0.017622
4/17/1974,0.007298
4/18/1974,0.004534
4/19/1974,-0.010963
4/22/1974,-0.003952
4/23/1974,-0.016762
4/24/1974,-0.01638
4/25/1974,-0.008113
4/26/1974,0.006888
4/29/1974,-0.00158
4/30/1974,0.003862
5/1/1974,0.021602
5/2/1974,-0.000948
5/3/1974,-0.00868
5/6/1974,-0.000521
5/7/1974,0.003822
5/8/1974,0.002909
5/9/1974,0.01462
5/10/1974,-0.015696
5/13/1974,-0.008544
5/14/1974,0.000617
5/15/1974,-0.00238
5/16/1974,-0.008098
5/17/1974,-0.016787
5/20/1974,-0.00377
5/21/1974,0.000768
5/22/1974,-0.009101
5/23/1974,0.002372
5/24/1974,0.016295
5/28/1974,-0.002159
5/29/1974,-0.016814
5/30/1974,0.006406
5/31/1974,-0.00171
6/3/1974,0.021235
6/4/1974,0.011976
6/5/1974,0.001812
6/6/1974,0.018494
6/7/1974,0.00637
6/10/1974,0.006304
6/11/1974,-0.008825
6/12/1974,-0.00235
6/13/1974,0.002854
6/14/1974,-0.011066
6/17/1974,-0.013632
6/18/1974,-0.006602
6/19/1974,-0.00667
6/20/1974,-0.006955
6/21/1974,-0.00855
6/24/1974,0.002882
6/25/1974,0.014713
6/26/1974,-0.015654
6/27/1974,-0.014541
6/28/1974,-0.003605
7/1/1974,0.00036
7/2/1974,-0.020147
7/3/1974,-0.000492
7/5/1974,-0.006833
7/8/1974,-0.030751
7/9/1974,0.004891
7/10/1974,-0.018464
7/11/1974,-0.001415
7/12/1974,0.040839
7/15/1974,0.007819
7/16/1974,-0.011657
7/17/1974,0.010968
7/18/1974,0.000954
7/19/1974,-0.002926
7/22/1974,0.003393
7/23/1974,0.01
7/24/1974,0.003907
7/25/1974,-0.011903
7/26/1974,-0.018771
7/29/1974,-0.017419
7/30/1974,-0.005158
7/31/1974,-0.014576
8/1/1974,-0.006576
8/2/1974,-0.001914
8/5/1974,0.01004
8/6/1974,0.016358
8/7/1974,0.026724
8/8/1974,-0.012573
8/9/1974,-0.008193
8/12/1974,-0.013404
8/13/1974,-0.01567
8/14/1974,-0.022069
8/15/1974,-0.005385
8/16/1974,-0.007897
8/19/1974,-0.013992
8/20/1974,0.005027
8/21/1974,-0.01918
8/22/1974,-0.00939
8/23/1974,-0.016066
8/26/1974,0.009061
8/27/1974,-0.016116
8/28/1974,-0.002591
8/29/1974,-0.010795
8/30/1974,0.031171
9/3/1974,-0.022666
9/4/1974,-0.025677
9/5/1974,0.032149
9/6/1974,0.007591
9/9/1974,-0.023677
9/10/1974,-0.006518
