date,FF_O
19730101,
19730102,6
19730103,5.5
19730104,5.75
19730105,5.75
19730108,5.63
19730109,5.5
19730110,5.5
19730111,5.75
19730112,5.75
19730115,5.88
19730116,6.5
19730117,5.63
19730118,5.75
19730119,6
19730122,6
19730123,6.25
19730124,6.19
19730125,6.31
19730126,6.38
19730129,6.25
19730130,6.25
19730131,6.5
19730201,6.44
19730202,6.44
19730205,6.25
19730206,5.75
19730207,5.75
19730208,6.25
19730209,6.38
19730212,6.44
19730213,6.75
19730214,7.5
19730215,7
19730216,7.25
19730219,
19730220,6.25
19730221,5.25
19730222,6.38
19730223,6.38
19730226,6.75
19730227,7.5
19730228,7.5
19730301,7
19730302,7.38
19730305,7
19730306,6.75
19730307,6.25
19730308,7
19730309,7.13
19730312,7.25
19730313,7.5
19730314,6.75
19730315,7.25
19730316,7.25
19730319,7
19730320,6.75
19730321,6
19730322,7.13
19730323,7
19730326,7.13
19730327,7.25
19730328,7.25
19730329,7.5
19730330,7.38
19730402,7.38
19730403,6.88
19730404,6.38
19730405,7.13
19730406,7.13
19730409,6.75
19730410,6.63
19730411,6
19730412,6.88
19730413,6.88
19730416,7.13
19730417,7.75
19730418,8.25
19730419,7.38
19730420,7
19730423,6.88
19730424,7.25
19730425,7.5
19730426,7.38
19730427,7.38
19730430,7.63
19730501,7.88
19730502,7
19730503,7.44
19730504,7.63
19730507,7.88
19730508,7.75
19730509,7.25
19730510,7.69
19730511,7.88
19730514,7.75
19730515,7.63
19730516,8
19730517,8.13
19730518,8
19730521,7.88
19730522,8.19
19730523,8.25
19730524,8.13
19730525,8
19730528,
19730529,7.88
19730530,7.63
19730531,8.13
19730601,8.44
19730604,8.63
19730605,8.69
19730606,8.25
19730607,8.5
19730608,8.25
19730611,8.44
19730612,8.25
19730613,7.25
19730614,8.38
19730615,8.5
19730618,8.69
19730619,8.69
19730620,8.63
19730621,8.69
19730622,8.56
19730625,8.5
19730626,8.75
19730627,8.5
19730628,8.88
19730629,8.88
19730702,10
19730703,13
19730704,
19730705,9.75
19730706,9.63
19730709,9.75
19730710,9.5
19730711,8.75
19730712,9.75
19730713,9.69
19730716,11
19730717,11.75
19730718,10
19730719,10.8
19730720,10.66
19730723,10.81
19730724,10.69
19730725,9.8
19730726,10.69
19730727,10.74
19730730,11.1
19730731,11.22
19730801,8.74
19730802,10.84
19730803,10.71
19730806,10.56
19730807,10.13
19730808,9.05
19730809,10.5
19730810,10.52
19730813,10.54
19730814,10.39
19730815,9.73
19730816,10.49
19730817,10.44
19730820,10.58
19730821,10.74
19730822,10.48
19730823,10.79
19730824,10.84
19730827,10.77
19730828,10.55
19730829,10.88
19730830,10.86
19730831,11.22
19730903,
19730904,10.85
19730905,8.96
19730906,10.73
19730907,10.79
19730910,11.15
19730911,10.92
19730912,10.03
19730913,10.93
19730914,10.82
19730917,10.84
19730918,10.68
19730919,10.71
19730920,10.79
19730921,10.74
19730924,10.69
19730925,10.54
19730926,11.63
19730927,10.92
19730928,10.82
19731001,10.9
19731002,10.73
19731003,10.04
19731004,10.8
19731005,10.62
19731008,
19731009,9.31
19731010,6.48
19731011,10.08
19731012,10.09
19731015,10
19731016,10.1
19731017,10.02
19731018,10.01
19731019,9.85
19731022,
19731023,9.86
19731024,10.56
