caldt,b1ret
19731231,0.058545
19741231,0.083023
19751231,0.087936
19761231,0.082016
19771230,0.047571
19781229,0.050059
19791231,0.091340
19801231,0.110090
19811231,0.153558
19821231,0.189623
19831230,0.093437
19841231,0.130524
19851231,0.114341
19861231,0.090515
19871231,0.066111
19881230,0.066996
19891229,0.104549
19901231,0.097657
19911231,0.097469
19921231,0.056479
19931231,0.041296
19941230,0.023245
19951229,0.083992
19961231,0.055055
19971231,0.062429
19981231,0.061431
19991231,0.043106
20001229,0.069920
20011231,0.074351
20021231,0.034147
20031231,0.014680
20041231,0.006780
20051230,0.022705
20061229,0.041550
20071231,0.059550
20081231,0.046384
20091231,0.005438
20101231,0.005810
20111230,0.003515
20121231,0.001726
20131231,0.003387
20141231,0.002411
