date,D_AH_Y1,D_CP_M1,D_FP_M1,CD_M1,ED_M1,FCP_M1,NFCP_M1,SWAPS_Y1,SWAPS_Y5,TB_Y1,TCMII_Y5,TCMNOM_M1,TCMNOM_Y1,TCMNOM_Y5
19730131,5.99,5.63,5.51,,,,,,,5.58,,,5.89,6.34
19730228,6.05,6.02,5.96,,,,,,,5.93,,,6.19,6.6
19730331,6.62,6.62,6.5,,,,,,,6.53,,,6.85,6.8
19730430,6.6,6.9,6.87,,,,,,,6.51,,,6.85,6.67
19730531,6.82,7.07,7.05,,,,,,,6.63,,,6.89,6.8
19730630,7.24,7.9,7.78,,,,,,,7.05,,,7.31,6.69
19730731,8.39,9.19,8.92,,,,,,,7.97,,,8.39,7.33
19730831,8.39,10.15,9.81,,,,,,,8.32,,,8.82,7.63
19730930,8.06,10.29,10,,,,,,,8.07,,,8.31,7.05
19731031,7.13,9.42,8.78,,,,,,,7.17,,,7.4,6.77
19731130,7.71,9.38,8.83,,,,,,,7.4,,,7.57,6.92
19731231,6.88,9.79,9.08,,,,,,,7.01,,,7.27,6.8
19740131,6.95,9.31,8.59,,,,,,,7.01,,,7.42,6.95
19740228,6.34,8.36,7.95,,,,,,,6.51,,,6.88,6.82
19740331,6.9,8.92,8.22,,,,,,,7.34,,,7.76,7.31
19740430,7.89,10.11,9.3,,,,,,,8.08,,,8.62,7.92
19740531,8.42,10.86,9.86,,,,,,,8.21,,,8.78,8.18
19740630,8.25,11.16,10.17,,,,,,,8.16,,,8.67,8.1
19740731,8.05,11.94,10.45,,,,,,,8.04,,,8.8,8.38
19740831,9.56,11.79,10.52,,,,,,,8.88,,,9.36,8.63
19740930,8.34,11.48,10.31,,,,,,,8.52,,,8.87,8.37
19741031,7.63,9.73,9.43,,,,,,,7.59,,,8.05,7.97
19741130,7.36,9.16,8.72,,,,,,,7.29,,,7.66,7.68
19741231,6.63,9.47,8.85,,,,,,,6.79,,,7.31,7.31
19750131,6.38,7.45,7.31,,,,,,,6.27,,,6.83,7.41
19750228,5.31,6.37,6.17,,,,,,,5.56,,,5.98,7.11
19750331,5.64,6.03,5.93,,,,,,,5.7,,,6.11,7.3
19750430,6.48,5.93,5.84,,,,,,,6.4,,,6.9,7.99
19750531,6.4,5.48,5.38,,,,,,,5.91,,,6.39,7.72
19750630,5.8,5.46,5.27,,,,,,,5.86,,,6.29,7.51
19750731,6.54,6.15,6,,,,,,,6.64,,,7.11,7.92
19750831,7.33,6.37,6.27,,,,,,,7.16,,,7.7,8.33
19750930,7.34,6.53,6.41,,,,,,,7.2,,,7.75,8.37
19751031,6.6,6.05,6.02,,,,,,,6.48,,,6.95,7.97
19751130,6.01,5.43,5.38,,,,,,,6.07,,,6.49,7.8
19751231,6.44,5.51,5.47,,,,,,,6.16,,,6.6,7.76
19760131,5.58,4.76,4.72,,,,,,,5.44,,,5.81,7.46
19760229,5.57,4.86,4.77,,,,,,,5.53,,,5.91,7.45
19760331,6.01,5.05,5,,,,,,,5.82,,,6.21,7.49
19760430,5.78,4.81,4.74,,,,,,,5.54,,,5.92,7.25
19760531,5.65,5.18,5.08,,,,,,,5.98,,,6.4,7.59
19760630,6.2,5.58,5.5,,,,,,,6.12,,,6.52,7.61
19760731,5.89,5.29,5.18,,,,,,,5.82,,,6.2,7.49
19760831,5.63,5.11,5.06,,,,,,,5.64,,,6,7.31
19760930,5.56,5.09,4.96,,,,,,,5.5,,,5.84,7.13
19761031,5.13,4.9,4.8,,,,,,,5.19,,,5.5,6.75
19761130,5.2,4.79,4.76,,,,,,,5,,,5.29,6.52
19761231,4.71,4.51,4.44,,,,,,,4.64,,,4.89,6.1
19770131,4.73,4.62,4.57,,,,,,,5,,,5.29,6.58
19770228,5.35,4.6,4.55,,,,,,,5.16,,,5.47,6.83
19770331,5.23,4.64,4.6,,,,,,,5.19,,,5.5,6.93
19770430,5.16,4.63,4.61,,,,,,,5.1,,,5.44,6.79
19770531,5.28,5.1,4.98,,,,,,,5.43,,,5.84,6.94
19770630,5.41,5.29,5.26,,,,,,,5.41,,,5.8,6.76
19770731,5.65,5.26,5.22,,,,,,,5.57,,,5.94,6.84
19770831,6.11,5.65,5.6,,,,,,,5.97,,,6.37,7.03
